DateStamp,TimeStamp,D1_A004_16443781_PODSN
05/02/2022,16:11:04,72.4,37.3
05/02/2022,16:15:03,72.0,36.3
05/02/2022,16:20:04,71.9,37.1
05/02/2022,16:25:04,70.9,41.4
05/02/2022,16:30:04,71.9,38.7
05/02/2022,16:35:04,72.2,37.0
05/02/2022,16:40:04,71.8,35.9
05/02/2022,16:45:04,70.5,41.7
05/02/2022,16:50:04,71.2,40.8
05/02/2022,16:55:04,72.0,39.4
05/02/2022,17:00:04,70.8,37.9
05/02/2022,17:05:04,70.1,41.4
05/02/2022,17:10:04,71.1,39.9
05/02/2022,17:15:04,71.7,39.1
05/02/2022,17:20:04,72.0,38.6
05/02/2022,17:25:04,71.7,37.4
05/02/2022,17:30:04,69.8,40.4
05/02/2022,17:35:04,70.4,40.2
05/02/2022,17:40:04,71.2,39.2
05/02/2022,17:45:04,71.6,38.7
05/02/2022,17:50:04,72.2,37.5
05/02/2022,17:55:04,70.3,37.4
05/02/2022,18:00:04,70.0,40.6
05/02/2022,18:05:04,71.0,39.3
05/02/2022,18:10:04,71.5,38.6
05/02/2022,18:15:04,71.9,37.9
05/02/2022,18:20:04,72.1,36.8
05/02/2022,18:25:04,71.7,36.1
05/02/2022,18:30:04,71.2,35.9
05/02/2022,18:35:04,70.2,41.1
05/02/2022,18:40:04,71.0,39.3
05/02/2022,18:45:04,71.7,37.2
05/02/2022,18:50:04,71.2,36.3
05/02/2022,18:55:04,70.5,39.4
05/02/2022,19:00:04,70.3,40.2
05/02/2022,19:05:04,71.2,38.8
05/02/2022,19:10:04,71.8,37.5
05/02/2022,19:15:04,71.5,36.4
05/02/2022,19:20:04,71.0,36.1
05/02/2022,19:25:04,70.3,40.9
05/02/2022,19:30:04,71.0,39.0
05/02/2022,19:35:04,71.5,38.0
05/02/2022,19:40:04,71.9,37.4
05/02/2022,19:45:04,71.8,36.5
05/02/2022,19:50:04,71.0,38.8
05/02/2022,19:55:04,70.9,38.7
05/02/2022,20:00:04,71.5,37.8
05/02/2022,20:05:04,71.8,37.3
05/02/2022,20:10:04,71.9,36.5
05/02/2022,20:15:04,71.5,36.2
05/02/2022,20:20:04,70.7,38.8
05/02/2022,20:25:04,71.6,37.5
05/02/2022,20:30:04,71.5,36.3
05/02/2022,20:35:04,70.4,39.3
05/02/2022,20:40:04,71.2,37.7
05/02/2022,20:45:04,71.5,35.9
05/02/2022,20:50:04,70.7,37.6
05/02/2022,20:55:04,70.8,37.8
05/02/2022,21:00:04,71.7,36.5
05/02/2022,21:05:04,71.4,35.7
05/02/2022,21:10:04,70.5,38.0
05/02/2022,21:15:04,71.2,37.3
05/02/2022,21:20:04,71.8,36.1
05/02/2022,21:25:04,71.2,35.9
05/02/2022,21:30:04,70.3,40.1
05/02/2022,21:35:04,70.9,38.1
05/02/2022,21:40:04,71.6,36.6
05/02/2022,21:45:04,71.2,36.6
05/02/2022,21:50:04,70.3,40.1
05/02/2022,21:55:04,70.9,38.5
05/02/2022,22:00:04,71.6,37.5
05/02/2022,22:05:04,71.4,37.2
05/02/2022,22:10:04,70.6,37.5
05/02/2022,22:15:04,70.5,39.7
05/02/2022,22:20:04,71.3,38.7
05/02/2022,22:25:04,71.7,37.7
05/02/2022,22:30:04,71.1,37.4
05/02/2022,22:35:04,70.4,40.4
05/02/2022,22:40:04,71.2,39.2
05/02/2022,22:45:04,71.7,38.1
05/02/2022,22:50:04,71.1,37.9
05/02/2022,22:55:04,70.6,40.8
05/02/2022,23:00:04,70.6,40.7
05/02/2022,23:05:04,71.3,39.6
05/02/2022,23:10:04,71.9,38.8
05/02/2022,23:15:04,71.5,38.0
05/02/2022,23:20:04,71.0,38.0
05/02/2022,23:25:04,70.3,41.7
05/02/2022,23:30:04,71.2,40.1
05/02/2022,23:35:04,71.6,37.9
05/02/2022,23:40:04,71.0,37.8
05/02/2022,23:45:04,70.3,41.5
