DateStamp,TimeStamp,D1_A004_16443781_PODSN
05/02/2022,23:50:04,71.1,39.7
05/02/2022,23:55:04,71.6,38.9
05/03/2022,00:00:04,71.9,37.7
05/03/2022,00:05:04,71.3,37.3
05/03/2022,00:10:04,70.4,40.6
05/03/2022,00:15:04,70.7,40.2
05/03/2022,00:20:04,71.6,37.9
05/03/2022,00:25:04,71.2,37.3
05/03/2022,00:30:04,70.3,39.9
05/03/2022,00:35:04,71.4,38.5
05/03/2022,00:40:04,71.3,37.2
05/03/2022,00:45:04,70.7,37.0
05/03/2022,00:50:04,70.2,40.7
05/03/2022,00:55:04,71.0,39.1
05/03/2022,01:00:04,71.6,37.0
05/03/2022,01:05:04,71.1,36.6
05/03/2022,01:10:04,70.5,37.6
05/03/2022,01:15:04,70.4,39.5
05/03/2022,01:20:04,71.3,38.0
05/03/2022,01:25:04,71.3,36.4
05/03/2022,01:30:04,70.8,36.4
05/03/2022,01:35:04,70.1,40.0
05/03/2022,01:40:04,70.8,38.6
05/03/2022,01:45:04,71.5,37.5
05/03/2022,01:50:04,71.4,36.1
05/03/2022,01:55:04,70.6,36.2
05/03/2022,02:00:04,70.2,39.2
05/03/2022,02:05:04,71.2,37.8
05/03/2022,02:10:04,71.1,36.2
05/03/2022,02:15:04,70.2,40.2
05/03/2022,02:20:04,70.8,38.1
05/03/2022,02:25:04,71.3,36.2
05/03/2022,02:30:04,70.7,36.3
05/03/2022,02:35:04,70.1,39.9
05/03/2022,02:40:04,70.7,38.4
05/03/2022,02:45:04,71.4,37.0
05/03/2022,02:50:04,71.2,36.1
05/03/2022,02:55:04,70.4,39.4
05/03/2022,03:00:04,70.7,37.8
05/03/2022,03:05:04,71.5,36.1
05/03/2022,03:10:04,70.9,36.0
05/03/2022,03:15:04,70.2,38.2
05/03/2022,03:20:04,71.1,37.3
05/03/2022,03:25:04,71.6,36.2
05/03/2022,03:30:04,71.3,35.6
05/03/2022,03:35:04,70.6,35.9
05/03/2022,03:40:04,70.4,38.4
05/03/2022,03:45:04,71.3,37.1
05/03/2022,03:50:04,71.4,36.0
05/03/2022,03:55:04,70.6,38.5
05/03/2022,04:00:04,71.1,37.3
05/03/2022,04:05:04,71.4,36.0
05/03/2022,04:10:04,70.7,36.1
05/03/2022,04:15:04,70.1,39.2
05/03/2022,04:20:04,71.1,37.8
05/03/2022,04:25:04,71.6,37.0
05/03/2022,04:30:04,71.2,36.5
05/03/2022,04:35:04,70.5,38.4
05/03/2022,04:40:04,70.4,39.2
05/03/2022,04:45:04,71.4,37.8
05/03/2022,04:50:04,71.1,37.1
05/03/2022,04:55:04,70.5,36.7
05/03/2022,05:00:04,70.0,41.5
05/03/2022,05:05:04,70.7,39.6
05/03/2022,05:10:04,71.4,37.7
05/03/2022,05:15:04,70.6,37.7
05/03/2022,05:20:04,70.1,41.5
05/03/2022,05:25:04,70.4,40.5
05/03/2022,05:30:04,71.4,38.6
05/03/2022,05:35:04,70.8,38.1
05/03/2022,05:40:04,70.5,37.3
05/03/2022,05:45:04,69.8,43.0
05/03/2022,05:50:04,70.7,40.8
05/03/2022,05:55:04,71.3,38.8
05/03/2022,06:00:04,70.9,38.1
05/03/2022,06:05:04,70.1,41.5
05/03/2022,06:10:04,71.2,39.7
05/03/2022,06:15:04,71.0,38.6
05/03/2022,06:20:04,70.4,40.3
05/03/2022,06:25:04,70.5,41.4
05/03/2022,06:30:04,71.4,39.0
05/03/2022,06:35:04,70.8,38.8
05/03/2022,06:40:04,70.0,42.6
05/03/2022,06:45:04,70.9,40.7
05/03/2022,06:50:04,71.6,39.1
05/03/2022,06:55:04,70.9,38.6
05/03/2022,07:00:04,70.3,41.3
05/03/2022,07:05:04,70.5,41.6
05/03/2022,07:10:04,71.3,40.3
05/03/2022,07:15:04,71.7,39.6
05/03/2022,07:20:04,71.9,39.1
05/03/2022,07:25:04,71.6,38.4
05/03/2022,07:30:04,71.1,39.4
05/03/2022,07:35:04,70.4,42.3
05/03/2022,07:40:04,71.4,40.6
05/03/2022,07:45:04,71.5,38.8
05/03/2022,07:50:04,71.1,38.5
05/03/2022,07:55:04,70.2,42.8
05/03/2022,08:00:04,70.4,43.1
05/03/2022,08:05:04,71.4,40.3
05/03/2022,08:10:04,70.7,42.6
05/03/2022,08:15:04,71.3,41.5
05/03/2022,08:20:04,71.9,40.6
05/03/2022,08:25:04,72.2,40.2
05/03/2022,08:30:04,72.5,40.0
05/03/2022,08:35:04,72.7,39.4
05/03/2022,08:40:04,72.2,39.0
05/03/2022,08:45:04,71.3,42.9
05/03/2022,08:50:04,71.9,41.9
05/03/2022,08:55:04,72.6,40.8
05/03/2022,09:00:04,72.9,40.5
05/03/2022,09:05:04,73.1,40.0
05/03/2022,09:10:04,73.2,39.5
05/03/2022,09:15:04,73.3,38.8
05/03/2022,09:20:04,72.7,38.5
05/03/2022,09:25:04,71.5,43.0
05/03/2022,09:30:04,72.5,41.3
05/03/2022,09:35:04,73.0,40.4
05/03/2022,09:40:04,73.3,40.0
05/03/2022,09:45:04,73.4,39.5
05/03/2022,09:50:04,74.0,38.2
05/03/2022,09:55:04,72.6,38.8
05/03/2022,10:00:04,71.8,42.3
05/03/2022,10:05:04,72.3,42.4
05/03/2022,10:10:04,73.1,41.0
05/03/2022,10:15:04,73.4,39.4
05/03/2022,10:20:04,72.5,39.4
05/03/2022,10:25:04,71.8,42.8
05/03/2022,10:30:04,72.4,42.5
05/03/2022,10:35:04,73.1,41.5
05/03/2022,10:40:04,73.4,40.6
05/03/2022,10:45:04,73.4,39.6
05/03/2022,10:50:04,72.8,39.3
05/03/2022,10:55:04,71.9,43.5
05/03/2022,11:00:04,72.6,42.2
05/03/2022,11:05:04,73.2,41.0
05/03/2022,11:10:04,73.1,39.9
05/03/2022,11:15:04,72.6,39.4
05/03/2022,11:20:04,71.9,43.5
05/03/2022,11:25:04,72.7,42.3
05/03/2022,11:30:04,73.2,40.7
05/03/2022,11:35:04,73.0,39.7
05/03/2022,11:40:04,72.5,40.8
05/03/2022,11:45:04,71.8,43.7
05/03/2022,11:50:04,72.9,41.6
05/03/2022,11:55:04,72.8,39.5
05/03/2022,12:00:04,72.0,43.1
