DateStamp,TimeStamp,D1_A003_16443676_PODSN
05/02/2022,16:11:04,72.3,37.9
05/02/2022,16:15:03,72.2,36.7
05/02/2022,16:20:04,72.2,37.1
05/02/2022,16:25:04,71.2,41.3
05/02/2022,16:30:04,71.9,39.4
05/02/2022,16:35:04,72.0,37.6
05/02/2022,16:40:04,72.0,36.3
05/02/2022,16:45:04,70.8,42.0
05/02/2022,16:50:04,71.4,40.7
05/02/2022,16:55:04,71.9,39.9
05/02/2022,17:00:04,71.0,38.0
05/02/2022,17:05:04,70.5,41.1
05/02/2022,17:10:04,71.4,40.0
05/02/2022,17:15:04,71.5,39.6
05/02/2022,17:20:04,71.6,39.4
05/02/2022,17:25:04,71.4,38.1
05/02/2022,17:30:04,70.1,40.3
05/02/2022,17:35:04,70.7,40.1
05/02/2022,17:40:04,71.1,39.5
05/02/2022,17:45:04,71.4,39.3
05/02/2022,17:50:04,71.5,38.6
05/02/2022,17:55:04,70.5,37.5
05/02/2022,18:00:04,70.3,40.5
05/02/2022,18:05:04,71.0,39.4
05/02/2022,18:10:04,71.2,39.2
05/02/2022,18:15:04,71.4,38.9
05/02/2022,18:20:04,71.5,38.1
05/02/2022,18:25:04,71.4,37.0
05/02/2022,18:30:04,71.1,36.3
05/02/2022,18:35:04,70.4,41.3
05/02/2022,18:40:04,70.9,39.5
05/02/2022,18:45:04,71.2,38.0
05/02/2022,18:50:04,71.1,37.0
05/02/2022,18:55:04,70.7,39.4
05/02/2022,19:00:04,70.4,40.3
05/02/2022,19:05:04,71.0,39.2
05/02/2022,19:10:04,71.1,38.5
05/02/2022,19:15:04,71.1,37.3
05/02/2022,19:20:04,71.0,36.4
05/02/2022,19:25:04,70.5,41.1
05/02/2022,19:30:04,70.9,39.3
05/02/2022,19:35:04,71.0,38.8
05/02/2022,19:40:04,71.2,38.4
05/02/2022,19:45:04,71.2,37.4
05/02/2022,19:50:04,70.9,39.0
05/02/2022,19:55:04,70.9,39.0
05/02/2022,20:00:04,71.2,38.5
05/02/2022,20:05:04,71.2,38.1
05/02/2022,20:10:04,71.5,37.6
05/02/2022,20:15:04,71.2,36.9
05/02/2022,20:20:04,70.8,39.1
05/02/2022,20:25:04,71.2,38.3
05/02/2022,20:30:04,71.2,37.1
05/02/2022,20:35:04,70.5,39.4
05/02/2022,20:40:04,71.1,38.1
05/02/2022,20:45:04,71.2,36.7
05/02/2022,20:50:04,70.9,37.7
05/02/2022,20:55:04,70.8,38.0
05/02/2022,21:00:04,71.1,37.4
05/02/2022,21:05:04,71.1,36.4
05/02/2022,21:10:04,70.5,38.4
05/02/2022,21:15:04,71.1,37.8
