DateStamp,TimeStamp,D1_A002_16443786_PODSN
05/02/2022,16:11:05,72.0,37.0
05/02/2022,16:15:03,71.6,35.9
05/02/2022,16:20:04,71.4,36.9
05/02/2022,16:25:04,70.5,41.1
05/02/2022,16:30:04,71.5,38.5
05/02/2022,16:35:04,71.7,36.7
05/02/2022,16:40:04,71.5,35.6
05/02/2022,16:45:04,70.0,41.7
05/02/2022,16:50:04,70.6,40.7
05/02/2022,16:55:04,71.6,39.0
05/02/2022,17:00:04,70.4,37.5
05/02/2022,17:05:04,69.7,41.1
05/02/2022,17:10:04,70.7,39.7
05/02/2022,17:15:05,71.3,38.7
05/02/2022,17:20:04,71.8,38.1
05/02/2022,17:25:04,71.4,36.9
05/02/2022,17:30:04,69.4,40.2
05/02/2022,17:35:04,70.1,40.0
05/02/2022,17:40:04,70.9,38.8
05/02/2022,17:45:04,71.4,38.2
05/02/2022,17:50:04,72.0,37.0
05/02/2022,17:55:04,70.0,37.0
05/02/2022,18:00:04,69.6,40.3
05/02/2022,18:05:04,70.6,38.8
05/02/2022,18:10:04,71.2,38.1
05/02/2022,18:15:04,71.6,37.4
05/02/2022,18:20:04,71.9,36.4
05/02/2022,18:25:04,71.5,35.7
05/02/2022,18:30:04,70.8,35.6
05/02/2022,18:35:04,69.9,40.9
05/02/2022,18:40:04,70.7,38.8
05/02/2022,18:45:04,71.5,36.7
05/02/2022,18:50:04,70.8,35.9
05/02/2022,18:55:04,70.1,39.2
05/02/2022,19:00:04,70.0,39.8
05/02/2022,19:05:04,70.8,38.4
05/02/2022,19:10:04,71.5,37.0
05/02/2022,19:15:04,71.2,35.9
05/02/2022,19:20:04,70.6,35.8
05/02/2022,19:25:04,69.9,40.7
05/02/2022,19:30:04,70.7,38.5
05/02/2022,19:35:04,71.3,37.5
05/02/2022,19:40:04,71.6,36.9
05/02/2022,19:45:04,71.6,35.9
05/02/2022,19:50:04,70.5,38.5
05/02/2022,19:55:04,70.6,38.2
05/02/2022,20:00:04,71.2,37.4
05/02/2022,20:05:04,71.6,36.8
05/02/2022,20:10:04,71.8,36.0
05/02/2022,20:15:04,71.2,35.8
05/02/2022,20:20:04,70.4,38.4
