DateStamp,TimeStamp,D1_A002_16443786_PODSN
05/02/2022,20:25:04,71.3,37.1
05/02/2022,20:30:04,71.2,35.9
05/02/2022,20:35:04,70.0,38.8
05/02/2022,20:40:04,70.9,37.1
05/02/2022,20:45:04,71.1,35.5
05/02/2022,20:50:04,70.3,37.3
05/02/2022,20:55:04,70.5,37.3
05/02/2022,21:00:04,71.4,36.0
05/02/2022,21:05:04,71.1,35.3
05/02/2022,21:10:04,70.1,37.7
05/02/2022,21:15:04,71.0,36.9
05/02/2022,21:20:04,71.5,35.7
05/02/2022,21:25:04,70.8,35.6
05/02/2022,21:30:04,69.9,39.9
05/02/2022,21:35:04,70.6,37.7
05/02/2022,21:40:04,71.3,36.2
05/02/2022,21:45:04,70.8,36.2
05/02/2022,21:50:04,70.0,39.8
05/02/2022,21:55:04,70.6,38.0
05/02/2022,22:00:04,71.4,37.1
05/02/2022,22:05:04,71.1,36.7
05/02/2022,22:10:04,70.3,37.2
05/02/2022,22:15:04,70.1,39.4
05/02/2022,22:20:04,71.0,38.2
05/02/2022,22:25:04,71.4,37.2
05/02/2022,22:30:04,70.8,37.0
05/02/2022,22:35:04,70.1,39.9
05/02/2022,22:40:04,70.9,38.7
05/02/2022,22:45:04,71.5,37.6
05/02/2022,22:50:04,70.8,37.4
05/02/2022,22:55:04,70.3,40.5
05/02/2022,23:00:04,70.3,40.3
05/02/2022,23:05:04,71.1,39.2
05/02/2022,23:10:04,71.6,38.3
05/02/2022,23:15:04,71.2,37.7
05/02/2022,23:20:04,70.6,37.6
05/02/2022,23:25:04,70.0,41.2
05/02/2022,23:30:04,70.9,39.6
05/02/2022,23:35:04,71.4,37.5
05/02/2022,23:40:04,70.6,37.5
05/02/2022,23:45:04,70.0,41.1
05/02/2022,23:50:04,70.8,39.4
05/02/2022,23:55:04,71.3,38.4
05/03/2022,00:00:04,71.7,37.1
05/03/2022,00:05:04,71.0,36.8
05/03/2022,00:10:04,70.2,40.2
05/03/2022,00:15:04,70.4,39.8
05/03/2022,00:20:04,71.3,37.2
05/03/2022,00:25:04,70.8,36.9
05/03/2022,00:30:04,69.9,39.5
05/03/2022,00:35:04,71.1,37.9
05/03/2022,00:40:04,71.0,36.8
05/03/2022,00:45:04,70.3,36.7
05/03/2022,00:50:04,69.8,40.4
05/03/2022,00:55:04,70.6,38.6
05/03/2022,01:00:04,71.4,36.5
05/03/2022,01:05:04,70.7,36.2
05/03/2022,01:10:04,70.2,37.4
05/03/2022,01:15:04,70.0,39.2
05/03/2022,01:20:04,71.0,37.6
05/03/2022,01:25:04,71.0,35.9
05/03/2022,01:30:04,70.4,35.9
05/03/2022,01:35:04,69.8,39.7
05/03/2022,01:40:04,70.5,38.1
05/03/2022,01:45:04,71.3,36.9
05/03/2022,01:50:04,71.2,35.7
05/03/2022,01:55:04,70.3,35.8
05/03/2022,02:00:04,69.9,38.7
05/03/2022,02:05:04,71.0,37.2
05/03/2022,02:10:04,70.7,35.9
05/03/2022,02:15:04,69.8,39.9
05/03/2022,02:20:04,70.4,37.6
05/03/2022,02:25:04,71.1,35.8
05/03/2022,02:30:04,70.4,35.9
05/03/2022,02:35:04,69.8,39.5
05/03/2022,02:40:04,70.4,37.8
05/03/2022,02:45:04,71.2,36.5
05/03/2022,02:50:04,70.9,35.6
05/03/2022,02:55:04,70.0,39.0
05/03/2022,03:00:04,70.4,37.4
05/03/2022,03:05:04,71.3,35.6
05/03/2022,03:10:04,70.5,35.6
05/03/2022,03:15:04,69.9,37.8
05/03/2022,03:20:04,70.8,36.9
05/03/2022,03:25:04,71.4,35.7
05/03/2022,03:30:04,71.1,35.1
05/03/2022,03:35:04,70.3,35.4
05/03/2022,03:40:04,70.0,38.0
05/03/2022,03:45:04,71.0,36.6
05/03/2022,03:50:04,71.1,35.5
05/03/2022,03:55:04,70.3,38.0
05/03/2022,04:00:04,70.8,36.9
05/03/2022,04:05:04,71.0,35.5
05/03/2022,04:10:04,70.4,35.6
05/03/2022,04:15:04,69.8,38.7
05/03/2022,04:20:04,70.7,37.4
05/03/2022,04:25:04,71.4,36.6
05/03/2022,04:30:04,70.9,36.0
05/03/2022,04:35:04,70.1,38.1
05/03/2022,04:40:04,70.1,38.8
05/03/2022,04:45:04,71.2,37.3
05/03/2022,04:50:04,70.8,36.7
05/03/2022,04:55:04,70.2,36.5
05/03/2022,05:00:04,69.6,41.0
05/03/2022,05:05:04,70.4,39.2
05/03/2022,05:10:04,71.0,37.3
05/03/2022,05:15:04,70.2,37.3
05/03/2022,05:20:04,69.7,41.1
05/03/2022,05:25:04,70.1,40.1
05/03/2022,05:30:04,71.2,38.0
05/03/2022,05:35:04,70.4,37.7
05/03/2022,05:40:04,70.2,36.9
05/03/2022,05:45:04,69.4,42.6
05/03/2022,05:50:04,70.4,40.4
05/03/2022,05:55:04,71.0,38.3
05/03/2022,06:00:04,70.5,37.8
05/03/2022,06:05:04,69.8,40.9
05/03/2022,06:10:04,70.9,39.3
05/03/2022,06:15:04,70.6,38.2
05/03/2022,06:20:04,70.1,40.1
05/03/2022,06:25:04,70.2,40.9
05/03/2022,06:30:04,71.1,38.5
05/03/2022,06:35:04,70.4,38.4
05/03/2022,06:40:04,69.7,42.3
05/03/2022,06:45:04,70.6,40.3
05/03/2022,06:50:04,71.4,38.6
05/03/2022,06:55:04,70.6,38.1
05/03/2022,07:00:04,69.9,40.7
05/03/2022,07:05:04,70.3,41.1
05/03/2022,07:10:04,71.0,39.8
05/03/2022,07:15:04,71.5,39.2
05/03/2022,07:20:04,71.7,38.5
05/03/2022,07:25:04,71.5,37.7
05/03/2022,07:30:04,70.8,38.9
05/03/2022,07:35:04,70.1,41.9
05/03/2022,07:40:04,71.1,40.1
05/03/2022,07:45:04,71.2,38.3
05/03/2022,07:50:04,70.7,37.8
05/03/2022,07:55:04,69.8,42.5
05/03/2022,08:00:04,70.1,42.7
05/03/2022,08:05:04,71.2,39.6
05/03/2022,08:10:04,70.4,42.4
05/03/2022,08:15:04,71.0,41.0
05/03/2022,08:20:04,71.8,40.0
05/03/2022,08:25:04,72.0,39.6
05/03/2022,08:30:04,72.3,39.4
05/03/2022,08:35:04,72.5,38.8
05/03/2022,08:40:04,72.0,38.4
05/03/2022,08:45:04,71.0,42.4
05/03/2022,08:50:04,71.7,41.3
05/03/2022,08:55:04,72.3,40.3
05/03/2022,09:00:04,72.8,39.9
05/03/2022,09:05:04,73.0,39.4
05/03/2022,09:10:04,73.1,38.8
05/03/2022,09:15:04,73.2,38.1
05/03/2022,09:20:04,72.5,37.8
05/03/2022,09:25:04,71.2,42.5
05/03/2022,09:30:04,72.2,40.7
05/03/2022,09:35:04,72.8,39.9
05/03/2022,09:40:04,73.2,39.4
05/03/2022,09:45:04,73.3,38.8
05/03/2022,09:50:04,75.0,36.2
05/03/2022,09:55:04,72.5,38.0
05/03/2022,10:00:04,71.6,41.6
05/03/2022,10:05:04,72.1,41.9
05/03/2022,10:10:04,72.8,40.5
05/03/2022,10:15:04,73.2,38.7
05/03/2022,10:20:04,72.3,38.8
05/03/2022,10:25:04,71.5,42.5
05/03/2022,10:30:04,72.1,42.2
05/03/2022,10:35:04,72.9,40.9
05/03/2022,10:40:04,73.2,40.1
05/03/2022,10:45:04,73.2,39.2
05/03/2022,10:50:04,72.5,38.8
05/03/2022,10:55:04,71.5,43.2
05/03/2022,11:00:05,72.2,41.8
05/03/2022,11:05:04,72.9,40.5
05/03/2022,11:10:04,72.8,39.4
05/03/2022,11:15:04,72.1,39.2
05/03/2022,11:20:04,71.5,43.3
05/03/2022,11:25:04,72.3,41.9
05/03/2022,11:30:04,73.0,40.2
05/03/2022,11:35:04,72.7,39.4
05/03/2022,11:40:04,72.1,40.6
05/03/2022,11:45:04,71.5,43.4
05/03/2022,11:50:04,72.6,41.0
05/03/2022,11:55:04,72.5,38.9
05/03/2022,12:00:04,71.5,42.7
