DateStamp,TimeStamp,T1_A007_16457217_19045587
06/08/2022,12:06:10,73.7,39.8
06/08/2022,12:06:21,73.8,39.6
06/08/2022,12:07:02,73.8,39.3
06/08/2022,12:08:03,73.7,38.9
06/08/2022,12:09:03,73.5,38.5
06/08/2022,12:10:03,73.4,38.4
06/08/2022,12:11:03,73.3,38.0
06/08/2022,12:12:03,73.1,37.8
06/08/2022,12:13:03,72.9,37.8
06/08/2022,12:14:03,72.7,37.9
06/08/2022,12:15:03,72.5,37.9
06/08/2022,12:16:03,72.4,40.3
06/08/2022,12:17:03,72.3,41.2
06/08/2022,12:18:03,72.3,42.1
06/08/2022,12:19:03,72.3,42.6
06/08/2022,12:20:03,72.3,43.4
06/08/2022,12:21:03,72.3,43.7
06/08/2022,12:22:03,72.2,43.7
06/08/2022,12:23:03,72.4,43.8
06/08/2022,12:24:03,72.3,43.8
06/08/2022,12:25:03,72.4,43.4
06/08/2022,12:26:03,72.5,43.0
06/08/2022,12:27:03,72.6,42.9
06/08/2022,12:28:03,72.6,42.8
06/08/2022,12:29:03,72.6,42.7
06/08/2022,12:30:03,72.6,42.6
06/08/2022,12:31:03,72.7,42.5
06/08/2022,12:32:03,72.7,42.5
06/08/2022,12:33:03,72.7,42.3
06/08/2022,12:34:03,72.7,42.2
06/08/2022,12:35:03,72.7,42.1
06/08/2022,12:36:03,72.8,42.3
06/08/2022,12:37:03,72.8,42.1
06/08/2022,12:38:03,72.9,41.6
06/08/2022,12:39:03,72.9,41.3
06/08/2022,12:40:03,72.8,41.2
06/08/2022,12:41:03,72.7,41.2
06/08/2022,12:42:03,72.6,41.3
06/08/2022,12:43:03,72.7,42.3
06/08/2022,12:44:03,73.8,43.8
06/08/2022,12:45:03,73.5,41.0
06/08/2022,12:46:03,73.2,41.0
06/08/2022,12:47:03,73.1,41.0
06/08/2022,12:48:03,72.9,41.0
06/08/2022,12:49:03,72.9,40.9
06/08/2022,12:50:03,72.9,40.9
06/08/2022,12:51:03,72.9,40.9
06/08/2022,12:52:03,72.9,40.9
06/08/2022,12:53:03,72.8,41.0
06/08/2022,12:54:03,72.8,41.0
06/08/2022,12:55:03,72.8,40.8
06/08/2022,12:56:03,72.8,40.8
06/08/2022,12:57:03,72.8,40.8
06/08/2022,12:58:03,72.8,40.8
06/08/2022,12:59:03,72.8,40.5
06/08/2022,13:00:03,72.7,40.5
06/08/2022,13:01:03,72.6,40.4
06/08/2022,13:02:03,72.5,40.4
06/08/2022,13:03:03,72.4,40.5
06/08/2022,13:04:03,72.4,40.4
06/08/2022,13:05:03,72.5,40.5
06/08/2022,13:06:03,72.5,40.7
06/08/2022,13:07:03,72.6,40.9
06/08/2022,13:08:03,72.6,40.9
06/08/2022,13:09:03,72.6,40.9
06/08/2022,13:10:03,72.7,41.0
06/08/2022,13:11:03,72.7,41.1
06/08/2022,13:12:03,72.7,41.3
06/08/2022,13:13:03,72.7,41.3
06/08/2022,13:14:03,72.8,41.2
06/08/2022,13:15:03,72.8,41.9
06/08/2022,13:16:03,72.8,41.0
