DateStamp,TimeStamp,T1_A002_16457405_19045570
06/08/2022,12:06:10,72.9,40.3
06/08/2022,12:06:15,72.9,40.2
06/08/2022,12:06:23,72.9,40.1
06/08/2022,12:07:02,72.9,39.8
06/08/2022,12:08:03,72.8,39.5
06/08/2022,12:09:03,72.7,39.0
06/08/2022,12:10:03,72.6,38.8
06/08/2022,12:11:03,72.6,38.3
06/08/2022,12:12:03,72.6,38.1
06/08/2022,12:13:03,72.3,38.1
06/08/2022,12:14:03,72.2,38.3
06/08/2022,12:15:03,72.1,38.3
06/08/2022,12:16:03,72.1,40.7
06/08/2022,12:17:03,72.1,41.1
06/08/2022,12:18:03,72.0,42.2
06/08/2022,12:19:03,72.0,42.7
06/08/2022,12:20:03,71.9,43.4
06/08/2022,12:21:03,72.1,43.6
06/08/2022,12:22:03,72.0,43.7
06/08/2022,12:23:03,72.0,43.7
06/08/2022,12:24:03,72.0,43.8
06/08/2022,12:25:03,72.1,43.3
06/08/2022,12:26:03,72.2,43.1
06/08/2022,12:27:03,72.3,42.7
06/08/2022,12:28:03,72.3,42.7
06/08/2022,12:29:03,72.3,42.6
06/08/2022,12:30:03,72.3,42.5
06/08/2022,12:31:03,72.5,42.4
06/08/2022,12:32:03,72.5,42.4
06/08/2022,12:33:03,72.6,42.2
06/08/2022,12:34:03,72.6,42.1
06/08/2022,12:35:03,72.6,42.0
06/08/2022,12:36:03,72.7,41.8
06/08/2022,12:37:03,72.7,41.6
06/08/2022,12:38:03,72.7,41.3
06/08/2022,12:39:03,72.7,41.0
06/08/2022,12:40:03,72.7,40.9
06/08/2022,12:41:03,72.7,41.0
06/08/2022,12:42:03,72.6,41.0
06/08/2022,12:43:03,72.8,44.1
06/08/2022,12:44:03,72.9,40.8
06/08/2022,12:45:03,72.9,40.9
06/08/2022,12:46:03,72.9,40.8
06/08/2022,12:47:03,72.9,40.6
06/08/2022,12:48:03,72.9,40.6
06/08/2022,12:49:03,72.9,40.4
06/08/2022,12:50:03,72.9,40.4
06/08/2022,12:51:03,73.0,40.4
06/08/2022,12:52:03,73.0,40.5
06/08/2022,12:53:03,73.0,40.4
06/08/2022,12:54:03,73.0,40.2
06/08/2022,12:55:03,73.0,40.2
06/08/2022,12:56:03,73.0,40.2
06/08/2022,12:57:03,73.0,40.1
06/08/2022,12:58:03,73.0,40.1
06/08/2022,12:59:03,73.0,39.9
06/08/2022,13:00:03,73.0,39.8
06/08/2022,13:01:03,72.9,39.7
06/08/2022,13:02:03,72.9,39.7
06/08/2022,13:03:03,72.8,39.6
06/08/2022,13:04:03,72.8,39.7
06/08/2022,13:05:03,72.8,39.9
06/08/2022,13:06:03,72.8,39.9
06/08/2022,13:07:03,72.8,40.3
06/08/2022,13:08:03,72.9,40.2
06/08/2022,13:09:03,72.9,40.1
06/08/2022,13:10:03,73.0,40.2
06/08/2022,13:11:03,73.0,40.3
06/08/2022,13:12:03,73.0,40.5
06/08/2022,13:13:03,73.1,40.4
06/08/2022,13:14:03,73.1,40.4
06/08/2022,13:15:03,73.4,41.9
06/08/2022,13:16:03,73.3,39.9
